title,artist,preview_url
Jump,Van Halen,"https://cdnt-preview.dzcdn.net/api/1/1/4/5/6/0/4564585fd721c9bf1df04fbf95f2ba9a.mp3?hdnea=exp=1751246541~acl=/api/1/1/4/5/6/0/4564585fd721c9bf1df04fbf95f2ba9a.mp3*~data=user_id=0,application_id=42~hmac=6008f98377cad061a15008ece62e3141defc880fd542b81d3b0f7d23cf7c38f1"
Radioactive,Imagine Dragons,"https://cdnt-preview.dzcdn.net/api/1/1/6/3/c/0/63c4b0d48e54c9d93ddb07145e6cfa34.mp3?hdnea=exp=1751246541~acl=/api/1/1/6/3/c/0/63c4b0d48e54c9d93ddb07145e6cfa34.mp3*~data=user_id=0,application_id=42~hmac=64f360cc597f1adc3728210aeb630248939a526b2c05a4474440b8ace34bf2ab"
In the End,Linkin Park,"https://cdnt-preview.dzcdn.net/api/1/1/9/b/3/0/9b3b33fa47f00eb43729de30e8027afa.mp3?hdnea=exp=1751246542~acl=/api/1/1/9/b/3/0/9b3b33fa47f00eb43729de30e8027afa.mp3*~data=user_id=0,application_id=42~hmac=2f3b944e5358f4d1cf7b7b6a2ced433e2f7ad44986f956f62d1e8dca422381b9"
Uptown Funk,Mark Ronson feat. Bruno Mars,"https://cdnt-preview.dzcdn.net/api/1/1/b/0/a/0/b0a30d99fddf73c172e0d3f308899dd5.mp3?hdnea=exp=1751246542~acl=/api/1/1/b/0/a/0/b0a30d99fddf73c172e0d3f308899dd5.mp3*~data=user_id=0,application_id=42~hmac=0c42121802fc958eedaed5e3ff730b1f053e64216a02e211b89fe79d3b5e2c7a"
Old Town Road,Lil Nas X,"https://cdnt-preview.dzcdn.net/api/1/1/d/e/2/0/de20d4587b2a569f18ce012e38bc776e.mp3?hdnea=exp=1751246543~acl=/api/1/1/d/e/2/0/de20d4587b2a569f18ce012e38bc776e.mp3*~data=user_id=0,application_id=42~hmac=bd4eefb8bb6ea84ba2486a7de40fcad1de77be1d6387208e08fbfbb50d4eb825"
Johnny B. Goode,Chuck Berry,"https://cdnt-preview.dzcdn.net/api/1/1/8/c/6/0/8c68d090cfe62285ab860d5732ab634b.mp3?hdnea=exp=1751246544~acl=/api/1/1/8/c/6/0/8c68d090cfe62285ab860d5732ab634b.mp3*~data=user_id=0,application_id=42~hmac=a901904faaa526148989be02e1bb20077dfcf757780eae59649acec9540676bb"
Hey Ya!,Outkast,"https://cdnt-preview.dzcdn.net/api/1/1/0/3/9/0/039b2c3871d36df880b29fc2b4ac2fc8.mp3?hdnea=exp=1751246544~acl=/api/1/1/0/3/9/0/039b2c3871d36df880b29fc2b4ac2fc8.mp3*~data=user_id=0,application_id=42~hmac=7db35d741ee440ae64c168228506f245940b8ec38df808699a320d08f265e7c4"
Enter Sandman,Metallica,"https://cdnt-preview.dzcdn.net/api/1/1/8/8/b/0/88b01d4a2caf5a833ade9e07a9d93612.mp3?hdnea=exp=1751246545~acl=/api/1/1/8/8/b/0/88b01d4a2caf5a833ade9e07a9d93612.mp3*~data=user_id=0,application_id=42~hmac=6ad4a3724c4682e937346104626a35322352291fca2c8c43298c3010b8d180b3"
Umbrella,Rihanna,"https://cdnt-preview.dzcdn.net/api/1/1/c/6/2/0/c62231a4abced1c3e3ba03b5effb9aa9.mp3?hdnea=exp=1751246546~acl=/api/1/1/c/6/2/0/c62231a4abced1c3e3ba03b5effb9aa9.mp3*~data=user_id=0,application_id=42~hmac=605bab49394a4cba06bac2df7b63ab9d19db1b7629ac7744eee98f1261ccca7b"
Like a Virgin,Madonna,"https://cdnt-preview.dzcdn.net/api/1/1/2/5/f/0/25fbaf464b037d6c6fefd78a9ef1c115.mp3?hdnea=exp=1751246546~acl=/api/1/1/2/5/f/0/25fbaf464b037d6c6fefd78a9ef1c115.mp3*~data=user_id=0,application_id=42~hmac=6506ff2c76a7b183fc351261e0ce5ee0b30f6ef038f5ff931f1328a743b2a055"
